"","names","values","fixed","steps","lower_bound","upper_bound","lower_start","upper_start","type","obs_type"
"1","alpha",0.333333333333333,1,0.1,0,1000,0,1000,2,1
"2","beta",0.333333333333333,1,0.1,0,1000,0,1000,2,1
"3","mu",1.21409701788798,0,0.1,0,8,1,3,1,1
"4","mu_short",1.85516993235797,0,0.1,0,8,1,3,1,1
"5","tau",0.0343368832254782,0,0.1,0,1,0.01,0.1,1,1
"6","wane",0.523070316901431,0,0.1,0,1,0.2,0.8,1,1
"7","sigma1",0.14845394345466,0,0.1,0,1,0.1,0.2,1,1
"8","sigma2",0.0333586618164554,0,0.1,0,1,0.01,0.1,1,1
"9","MAX_TITRE",8,1,0.1,0,8,8,8,1,1
"10","MIN_TITRE",0,1,0.1,0,0,0,0,1,1
"11","obs_sd",1.83122883178294,0,0.1,0,25,0.5,2,1,1
"12","rho_mean",0,1,0.1,-10,10,-2,2,1,1
"13","rho_sd",1,1,0.1,0,10,1,2,1,1
"14","titre_dependent",0,1,0.1,0,1,0,1,1,1
"15","rho",-0.106204950250685,0,0.1,-3,3,-1,1,3,1
"16","rho",0.0568212023936212,0,0.1,-3,3,-1,1,3,1
"17","rho",0.654732429888099,0,0.1,-3,3,-1,1,3,1
"18","rho",-0.224965525325388,0,0.1,-3,3,-1,1,3,1
"19","mu",1.89489825442433,0,0.1,0,8,1,3,1,2
"20","mu_short",2.80860048113391,0,0.1,0,8,1,3,1,2
"21","tau",0.0697609033691697,0,0.1,0,1,0.01,0.1,1,2
"22","wane",0.238681991677731,0,0.1,0,1,0.2,0.8,1,2
"23","sigma1",0.196328888414428,0,0.1,0,1,0.1,0.2,1,2
"24","sigma2",0.0936342086340301,0,0.1,0,1,0.01,0.1,1,2
"25","MAX_TITRE",8,1,0.1,0,8,8,8,1,2
"26","MIN_TITRE",0,1,0.1,0,0,0,0,1,2
"27","obs_sd",1.42885611730162,0,0.1,0,25,0.5,2,1,2
"28","rho_mean",0,1,0.1,-10,10,-2,2,1,2
"29","rho_sd",1,1,0.1,0,10,1,2,1,2
"30","titre_dependent",0,1,0.1,0,1,0,1,1,2
"31","rho",0.611548361834139,0,0.1,-3,3,-1,1,3,2
"32","rho",-0.0520891207270324,0,0.1,-3,3,-1,1,3,2
"33","rho",0.559540857095271,0,0.1,-3,3,-1,1,3,2
"34","rho",-0.816008716821671,0,0.1,-3,3,-1,1,3,2
