"","names","values","fixed","steps","lower_bound","upper_bound","lower_start","upper_start","type","obs_type"
"1","alpha",0.333333333333333,1,0.1,0,1000,0,1000,2,1
"2","beta",0.333333333333333,1,0.1,0,1000,0,1000,2,1
"3","mu",1.68486584350467,0,0.1,0,8,1,3,1,1
"4","mu_short",1.43698648922145,0,0.1,0,8,1,3,1,1
"5","tau",0.0888936340948567,0,0.1,0,1,0.01,0.1,1,1
"6","wane",0.759029440721497,0,0.1,0,1,0.2,0.8,1,1
"7","sigma1",0.167090073158033,0,0.1,0,1,0.1,0.2,1,1
"8","sigma2",0.0746320300945081,0,0.1,0,1,0.01,0.1,1,1
"9","MAX_TITRE",8,1,0.1,0,8,8,8,1,1
"10","MIN_TITRE",0,1,0.1,0,0,0,0,1,1
"11","obs_sd",1.88973984646145,0,0.1,0,25,0.5,2,1,1
"12","rho_mean",0,1,0.1,-10,10,-2,2,1,1
"13","rho_sd",1,1,0.1,0,10,1,2,1,1
"14","titre_dependent",0,1,0.1,0,1,0,1,1,1
"15","rho",0.610069834627211,0,0.1,-3,3,-1,1,3,1
"16","rho",-0.54848972056061,0,0.1,-3,3,-1,1,3,1
"17","rho",-0.376118583604693,0,0.1,-3,3,-1,1,3,1
"18","rho",-0.845455664675683,0,0.1,-3,3,-1,1,3,1
"19","mu",2.35335012152791,0,0.1,0,8,1,3,1,2
"20","mu_short",1.15921012498438,0,0.1,0,8,1,3,1,2
"21","tau",0.0993283280497417,0,0.1,0,1,0.01,0.1,1,2
"22","wane",0.771328676212579,0,0.1,0,1,0.2,0.8,1,2
"23","sigma1",0.173632128792815,0,0.1,0,1,0.1,0.2,1,2
"24","sigma2",0.0204871540446766,0,0.1,0,1,0.01,0.1,1,2
"25","MAX_TITRE",8,1,0.1,0,8,8,8,1,2
"26","MIN_TITRE",0,1,0.1,0,0,0,0,1,2
"27","obs_sd",1.35582419298589,0,0.1,0,25,0.5,2,1,2
"28","rho_mean",0,1,0.1,-10,10,-2,2,1,2
"29","rho_sd",1,1,0.1,0,10,1,2,1,2
"30","titre_dependent",0,1,0.1,0,1,0,1,1,2
"31","rho",0.0953772948123515,0,0.1,-3,3,-1,1,3,2
"32","rho",-0.563495840411633,0,0.1,-3,3,-1,1,3,2
"33","rho",-0.86261299951002,0,0.1,-3,3,-1,1,3,2
"34","rho",0.0938298162072897,0,0.1,-3,3,-1,1,3,2
