"","names","values","fixed","steps","lower_bound","upper_bound","lower_start","upper_start","type","obs_type"
"1","alpha",0.333333333333333,1,0.1,0,1000,0,1000,2,1
"2","beta",0.333333333333333,1,0.1,0,1000,0,1000,2,1
"3","mu",1.35549686197191,0,0.1,0,8,1,3,1,1
"4","mu_short",1.75682704942301,0,0.1,0,8,1,3,1,1
"5","tau",0.0306836738740094,0,0.1,0,1,0.01,0.1,1,1
"6","wane",0.777264311024919,0,0.1,0,1,0.2,0.8,1,1
"7","sigma1",0.111142917885445,0,0.1,0,1,0.1,0.2,1,1
"8","sigma2",0.0876780118537135,0,0.1,0,1,0.01,0.1,1,1
"9","MAX_TITRE",8,1,0.1,0,8,8,8,1,1
"10","MIN_TITRE",0,1,0.1,0,0,0,0,1,1
"11","obs_sd",1.87820679997094,0,0.1,0,25,0.5,2,1,1
"12","rho_mean",0,1,0.1,-10,10,-2,2,1,1
"13","rho_sd",1,1,0.1,0,10,1,2,1,1
"14","titre_dependent",0,1,0.1,0,1,0,1,1,1
"15","rho",-0.262869780883193,0,0.1,-3,3,-1,1,3,1
"16","rho",0.486978875473142,0,0.1,-3,3,-1,1,3,1
"17","rho",-0.278059179894626,0,0.1,-3,3,-1,1,3,1
"18","rho",-0.789090329781175,0,0.1,-3,3,-1,1,3,1
"19","mu",1.9975603655912,0,0.1,0,8,1,3,1,2
"20","mu_short",1.0318824518472,0,0.1,0,8,1,3,1,2
"21","tau",0.0866963637340814,0,0.1,0,1,0.01,0.1,1,2
"22","wane",0.234208711748943,0,0.1,0,1,0.2,0.8,1,2
"23","sigma1",0.199443808267824,0,0.1,0,1,0.1,0.2,1,2
"24","sigma2",0.0619939401582815,0,0.1,0,1,0.01,0.1,1,2
"25","MAX_TITRE",8,1,0.1,0,8,8,8,1,2
"26","MIN_TITRE",0,1,0.1,0,0,0,0,1,2
"27","obs_sd",1.30184737686068,0,0.1,0,25,0.5,2,1,2
"28","rho_mean",0,1,0.1,-10,10,-2,2,1,2
"29","rho_sd",1,1,0.1,0,10,1,2,1,2
"30","titre_dependent",0,1,0.1,0,1,0,1,1,2
"31","rho",0.481612348929048,0,0.1,-3,3,-1,1,3,2
"32","rho",-0.508654113393277,0,0.1,-3,3,-1,1,3,2
"33","rho",-0.129644252825528,0,0.1,-3,3,-1,1,3,2
"34","rho",0.421818434726447,0,0.1,-3,3,-1,1,3,2
