"","50%","2.5%","97.5%"
"mu",3.866,3.559,4.616
"mu_short",4.95,3.573,5.353
"tau",0.275,0.248,0.36
"sigma1",0.056,0.042,0.069
"sigma2",0.019,0.001,0.041
"wane",0.701,0.519,0.765
"mu.1",3.716,2.945,3.949
"mu_short.1",1.211,0.266,1.455
"tau.1",0.605,0.554,0.812
"sigma1.1",0.024,0.014,0.033
"sigma2.1",0.014,0.001,0.241
"wane.1",0.96,0.045,0.998
"obs_sd",1.164,1.11,1.22
"lnlike",-6006.059,-6057.434,-5920.181
"prior_prob",-1614.54,-1654.754,-1441.89
