"","50%","2.5%","97.5%"
"mu",3.947,3.531,4.314
"mu_short",4.308,3.816,5.107
"tau",0.321,0.291,0.358
"sigma1",0.051,0.037,0.061
"sigma2",0.022,0.002,0.049
"wane",0.502,0.392,0.576
"mu.1",2.806,1.255,3.984
"mu_short.1",1.314,0.372,2.862
"tau.1",0.762,0.667,0.806
"sigma1.1",0.027,0.004,0.065
"sigma2.1",0.02,0.001,0.073
"wane.1",0.062,0.018,0.974
"obs_sd",1.125,1.073,1.181
"lnlike",-5881.196,-5936.328,-5820.855
"prior_prob",-1473.257,-1534.151,-1411.241
