"","50%","2.5%","97.5%"
"mu",4.127,3.614,4.734
"mu_short",4.13,3.521,5.276
"tau",0.309,0.251,0.376
"sigma1",0.06,0.044,0.071
"sigma2",0.014,0.001,0.037
"wane",0.601,0.474,0.762
"mu.1",3.742,2.678,3.993
"mu_short.1",1.125,0.305,1.453
"tau.1",0.741,0.565,0.817
"sigma1.1",0.024,0.013,0.034
"sigma2.1",0.017,0.001,0.083
"wane.1",0.937,0.034,0.998
"obs_sd",1.159,1.104,1.217
"lnlike",-5982.15,-6054.092,-5908.054
"prior_prob",-1511.198,-1647.486,-1429.686
