"","names","values","fixed","steps","lower_bound","upper_bound","lower_start","upper_start","type","obs_type"
"1","alpha",0.333333333333333,1,0.1,0,1000,0,1000,2,1
"2","beta",0.333333333333333,1,0.1,0,1000,0,1000,2,1
"3","mu",1.99069962324575,0,0.1,0,8,1,3,1,1
"4","mu_short",2.16739317635074,0,0.1,0,8,1,3,1,1
"5","tau",0.0627464785729535,0,0.1,0,1,0.01,0.1,1,1
"6","wane",0.653650153847411,0,0.1,0,1,0.2,0.8,1,1
"7","sigma1",0.104684119997546,0,0.1,0,1,0.1,0.2,1,1
"8","sigma2",0.0130707145435736,0,0.1,0,1,0.01,0.1,1,1
"9","MAX_TITRE",8,1,0.1,0,8,8,8,1,1
"10","MIN_TITRE",0,1,0.1,0,0,0,0,1,1
"11","obs_sd",1.22188772435766,0,0.1,0,25,0.5,2,1,1
"12","rho_mean",0,1,0.1,-10,10,-2,2,1,1
"13","rho_sd",1,1,0.1,0,10,1,2,1,1
"14","titre_dependent",0,1,0.1,0,1,0,1,1,1
"15","rho",0.7672672374174,0,0.1,-3,3,-1,1,3,1
"16","rho",-0.302972556091845,0,0.1,-3,3,-1,1,3,1
"17","rho",0.331374056171626,0,0.1,-3,3,-1,1,3,1
"18","rho",0.724779158830643,0,0.1,-3,3,-1,1,3,1
"19","rho",-0.275569839403033,0,0.1,-3,3,-1,1,3,1
