"","names","values","fixed","steps","lower_bound","upper_bound","lower_start","upper_start","type","obs_type"
"1","alpha",0.333333333333333,1,0.1,0,1000,0,1000,2,1
"2","beta",0.333333333333333,1,0.1,0,1000,0,1000,2,1
"3","mu",1.74252233281732,0,0.1,0,8,1,3,1,1
"4","mu_short",1.02930884342641,0,0.1,0,8,1,3,1,1
"5","tau",0.0463389908522368,0,0.1,0,1,0.01,0.1,1,1
"6","wane",0.697575148614124,0,0.1,0,1,0.2,0.8,1,1
"7","sigma1",0.17137067867443,0,0.1,0,1,0.1,0.2,1,1
"8","sigma2",0.0302829597261734,0,0.1,0,1,0.01,0.1,1,1
"9","MAX_TITRE",8,1,0.1,0,8,8,8,1,1
"10","MIN_TITRE",0,1,0.1,0,0,0,0,1,1
"11","obs_sd",1.44362984050531,0,0.1,0,25,0.5,2,1,1
"12","rho_mean",0,1,0.1,-10,10,-2,2,1,1
"13","rho_sd",1,1,0.1,0,10,1,2,1,1
"14","titre_dependent",0,1,0.1,0,1,0,1,1,1
"15","rho",-0.477242908906192,0,0.1,-3,3,-1,1,3,1
"16","rho",0.148662195075303,0,0.1,-3,3,-1,1,3,1
"17","rho",-0.56892912928015,0,0.1,-3,3,-1,1,3,1
"18","rho",-0.341149872168899,0,0.1,-3,3,-1,1,3,1
"19","rho",0.498273437377065,0,0.1,-3,3,-1,1,3,1
