"","names","values","fixed","steps","lower_bound","upper_bound","lower_start","upper_start","type","obs_type"
"1","alpha",0.333333333333333,1,0.1,0,1000,0,1000,2,1
"2","beta",0.333333333333333,1,0.1,0,1000,0,1000,2,1
"3","mu",1.9181015859358,0,0.1,0,8,1,3,1,1
"4","mu_short",1.43508157506585,0,0.1,0,8,1,3,1,1
"5","tau",0.0706966718635522,0,0.1,0,1,0.01,0.1,1,1
"6","wane",0.276487690303475,0,0.1,0,1,0.2,0.8,1,1
"7","sigma1",0.175464942189865,0,0.1,0,1,0.1,0.2,1,1
"8","sigma2",0.0829285144852474,0,0.1,0,1,0.01,0.1,1,1
"9","MAX_TITRE",8,1,0.1,0,8,8,8,1,1
"10","MIN_TITRE",0,1,0.1,0,0,0,0,1,1
"11","obs_sd",1.14396030688658,0,0.1,0,25,0.5,2,1,1
"12","rho_mean",0,1,0.1,-10,10,-2,2,1,1
"13","rho_sd",1,1,0.1,0,10,1,2,1,1
"14","titre_dependent",0,1,0.1,0,1,0,1,1,1
"15","rho",-0.00223732646554708,0,0.1,-3,3,-1,1,3,1
"16","rho",0.0195149499922991,0,0.1,-3,3,-1,1,3,1
"17","rho",-0.456101390533149,0,0.1,-3,3,-1,1,3,1
"18","rho",0.802508110646158,0,0.1,-3,3,-1,1,3,1
"19","rho",-0.981332847848535,0,0.1,-3,3,-1,1,3,1
