"","names","values","fixed","steps","lower_bound","upper_bound","lower_start","upper_start","type","obs_type"
"1","alpha",0.333333333333333,1,0.1,0,1000,0,1000,2,1
"2","beta",0.333333333333333,1,0.1,0,1000,0,1000,2,1
"3","mu",2.72095838747919,0,0.1,0,8,1,3,1,1
"4","mu_short",1.17505273967981,0,0.1,0,8,1,3,1,1
"5","tau",0.0810249934112653,0,0.1,0,1,0.01,0.1,1,1
"6","wane",0.378913625748828,0,0.1,0,1,0.2,0.8,1,1
"7","sigma1",0.177224113605917,0,0.1,0,1,0.1,0.2,1,1
"8","sigma2",0.0138055365066975,0,0.1,0,1,0.01,0.1,1,1
"9","MAX_TITRE",8,1,0.1,0,8,8,8,1,1
"10","MIN_TITRE",0,1,0.1,0,0,0,0,1,1
"11","obs_sd",1.87553106492851,0,0.1,0,25,0.5,2,1,1
"12","rho_mean",0,1,0.1,-10,10,-2,2,1,1
"13","rho_sd",1,1,0.1,0,10,1,2,1,1
"14","titre_dependent",0,1,0.1,0,1,0,1,1,1
"15","rho",-0.498539175838232,0,0.1,-3,3,-1,1,3,1
"16","rho",0.601342271082103,0,0.1,-3,3,-1,1,3,1
"17","rho",-0.458341154735535,0,0.1,-3,3,-1,1,3,1
"18","rho",0.273565002717078,0,0.1,-3,3,-1,1,3,1
"19","rho",0.792653046548367,0,0.1,-3,3,-1,1,3,1
