sampno,alpha,beta,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,MIN_TITRE,obs_sd,rho_mean,rho_sd,titre_dependent,rho,rho,rho,rho,rho,lnlike,likelihood,prior_prob
271,0.333333333333333,0.333333333333333,2.12145896106958,2.18449420388788,0.0624112537922338,0.641442519752309,0.107204002817161,0.0956563997664489,8,0,1.16644316643942,0,1,0,-0.470871506212279,-0.728539392491803,-0.434225568920374,-0.509117319388315,-0.268940919870511,-1589.56751623344,-1230.17842272362,-359.389093509824
281,0.333333333333333,0.333333333333333,2.12145896106958,2.18667103033513,0.0624112537922338,0.623036063346081,0.107204002817161,0.0956563997664489,8,0,1.16644316643942,0,1,0,-0.470871506212279,-0.728539392491803,-0.434225568920374,-0.509117319388315,-0.268940919870511,-1594.74015462831,-1225.30807023539,-369.432084392926
291,0.333333333333333,0.333333333333333,2.12145896106958,2.18667103033513,0.0624112537922338,0.623036063346081,0.107204002817161,0.0956563997664489,8,0,1.16644316643942,0,1,0,-0.585197310475633,-0.728539392491803,-0.668571234634146,-0.451597850676626,-0.268940919870511,-1593.35144474308,-1211.95350413717,-381.397940605909
301,0.333333333333333,0.333333333333333,2.12145896106958,2.18667103033513,0.0512643416505307,0.623036063346081,0.107204002817161,0.0956563997664489,8,0,0.881422266829759,0,1,0,-0.42764892373234,-0.728539392491803,-0.668571234634146,-0.451597850676626,-0.268940919870511,-1580.65594724131,-1199.68586714685,-380.970080094459
311,0.333333333333333,0.333333333333333,2.17714383471757,2.18667103033513,0.0512643416505307,0.623036063346081,0.107204002817161,0.0956563997664489,8,0,0.881422266829759,0,1,0,-0.42764892373234,-0.728539392491803,-0.476212535100058,-0.451597850676626,-0.268940919870511,-1562.24398193512,-1179.97664933557,-382.267332599555
321,0.333333333333333,0.333333333333333,2.17714383471757,2.18667103033513,0.0512643416505307,0.623036063346081,0.107204002817161,0.0956563997664489,8,0,0.881422266829759,0,1,0,-0.42764892373234,-0.728539392491803,-0.495721710054204,-0.451597850676626,-0.268940919870511,-1539.18469168534,-1171.8669971459,-367.317694539438
331,0.333333333333333,0.333333333333333,2.15135723371059,2.18667103033513,0.0608402649266646,0.623616172187031,0.107204002817161,0.0956563997664489,8,0,0.881422266829759,0,1,0,-0.42764892373234,-0.728539392491803,-0.495721710054204,-0.395980795426294,-0.421430456731469,-1548.63774514331,-1172.05129312977,-376.586452013535
341,0.333333333333333,0.333333333333333,2.15135723371059,2.18667103033513,0.0608402649266646,0.623616172187031,0.107204002817161,0.0956563997664489,8,0,0.881422266829759,0,1,0,-0.42764892373234,-0.708842098992319,-0.4111298924312,-0.230768906138836,-0.421430456731469,-1545.14031430281,-1161.72207272138,-383.418241581433
351,0.333333333333333,0.333333333333333,2.15135723371059,2.18667103033513,0.0435706391790882,0.623616172187031,0.107204002817161,0.0956563997664489,8,0,0.881422266829759,0,1,0,-0.42764892373234,-0.708842098992319,-0.4111298924312,-0.230768906138836,-0.455635688593612,-1529.52107131897,-1162.46488652797,-367.056184791004
361,0.333333333333333,0.333333333333333,2.15135723371059,2.18667103033513,0.0435706391790882,0.623616172187031,0.107204002817161,0.0956563997664489,8,0,0.881422266829759,0,1,0,-0.42764892373234,-0.708842098992319,-0.4111298924312,-0.230768906138836,-0.394096823502332,-1528.16321049558,-1163.17513028185,-364.988080213734
371,0.333333333333333,0.333333333333333,2.13719037026167,2.18667103033513,0.0435706391790882,0.577461047354155,0.111081604170613,0.105660150956828,8,0,0.881422266829759,0,1,0,-0.42764892373234,-0.708842098992319,-0.4111298924312,-0.230768906138836,-0.394096823502332,-1536.24831468974,-1163.39477498024,-372.853539709495
381,0.333333333333333,0.333333333333333,2.13719037026167,2.40286632496864,0.0435706391790882,0.577461047354155,0.111081604170613,0.105660150956828,8,0,0.881422266829759,0,1,0,-0.42764892373234,-0.708842098992319,-0.4111298924312,-0.230768906138836,-0.394096823502332,-1532.95775228248,-1160.59269298996,-372.365059292522
391,0.333333333333333,0.333333333333333,2.13719037026167,2.40286632496864,0.0385781813738868,0.577461047354155,0.111081604170613,0.105660150956828,8,0,0.881422266829759,0,1,0,-0.42764892373234,-0.708842098992319,-0.4111298924312,-0.230768906138836,-0.394096823502332,-1528.51617602198,-1156.83006329102,-371.686112730966
401,0.333333333333333,0.333333333333333,2.13719037026167,2.40286632496864,0.0385781813738868,0.577461047354155,0.111081604170613,0.105660150956828,8,0,0.881422266829759,0,1,0,-0.42764892373234,-0.701623755833134,-0.4111298924312,-0.317993515869602,-0.394096823502332,-1520.89494478308,-1150.99706836238,-369.897876420701
411,0.333333333333333,0.333333333333333,2.13719037026167,2.40286632496864,0.0385781813738868,0.554209437128157,0.111081604170613,0.105660150956828,8,0,0.881422266829759,0,1,0,-0.42764892373234,-0.767486608121544,-0.432199930446223,-0.317993515869602,-0.394096823502332,-1529.6593483987,-1152.08977517956,-377.569573219138
421,0.333333333333333,0.333333333333333,2.13719037026167,2.40286632496864,0.000434381389059109,0.576236331649125,0.111081604170613,0.105660150956828,8,0,0.881422266829759,0,1,0,-0.42764892373234,-0.767486608121544,-0.432199930446223,-0.317993515869602,-0.394096823502332,-1531.52284187277,-1152.79728583789,-378.725556034876
431,0.333333333333333,0.333333333333333,2.13719037026167,2.40286632496864,0.000434381389059109,0.576236331649125,0.113753312639892,0.105660150956828,8,0,0.881422266829759,0,1,0,-0.42764892373234,-0.767486608121544,-0.432199930446223,-0.317993515869602,-0.394096823502332,-1526.3809922185,-1157.33119052607,-369.049801692423
441,0.333333333333333,0.333333333333333,2.13719037026167,2.40286632496864,0.000434381389059109,0.565460255276412,0.113753312639892,0.105660150956828,8,0,0.881422266829759,0,1,0,-0.42764892373234,-0.767486608121544,-0.432199930446223,-0.317993515869602,-0.394096823502332,-1521.24223498931,-1149.28821526384,-371.954019725474
451,0.333333333333333,0.333333333333333,2.13719037026167,2.40286632496864,0.000434381389059109,0.565460255276412,0.113753312639892,0.105660150956828,8,0,0.881422266829759,0,1,0,-0.370477706473321,-0.775904484046623,-0.432199930446223,-0.317993515869602,-0.394096823502332,-1521.22027766501,-1159.71951931664,-361.500758348374
461,0.333333333333333,0.333333333333333,2.13719037026167,2.40286632496864,0.000434381389059109,0.553786571836099,0.113753312639892,0.105660150956828,8,0,0.881422266829759,0,1,0,-0.370477706473321,-0.775904484046623,-0.432199930446223,-0.317993515869602,-0.394096823502332,-1519.10962294848,-1159.49493860531,-359.614684343165
471,0.333333333333333,0.333333333333333,2.13719037026167,2.40286632496864,0.000434381389059109,0.553786571836099,0.113753312639892,0.105660150956828,8,0,0.881422266829759,0,1,0,-0.370477706473321,-0.766734898369759,-0.346051014075056,-0.329423028463497,-0.324279259098694,-1518.76179958733,-1149.82449935826,-368.937300229069
481,0.333333333333333,0.333333333333333,2.13719037026167,2.40286632496864,0.0103668143879622,0.586647564196028,0.113753312639892,0.105660150956828,8,0,0.881422266829759,0,1,0,-0.370477706473321,-0.766734898369759,-0.346051014075056,-0.329423028463497,-0.324279259098694,-1516.46148879531,-1149.96426752419,-366.497221271118
491,0.333333333333333,0.333333333333333,2.21854882612824,2.15567744225264,0.0545750784594566,0.586647564196028,0.113753312639892,0.105660150956828,8,0,0.881422266829759,0,1,0,-0.370477706473321,-0.593215376557782,-0.346051014075056,-0.33120013414882,-0.382999138999731,-1505.75184023865,-1143.86633504054,-361.885505198108
501,0.333333333333333,0.333333333333333,2.21854882612824,2.15567744225264,0.0545750784594566,0.586647564196028,0.113753312639892,0.105660150956828,8,0,0.881422266829759,0,1,0,-0.370477706473321,-0.593215376557782,-0.346051014075056,-0.33120013414882,-0.382999138999731,-1509.07168629111,-1146.50546070394,-362.566225587171
511,0.333333333333333,0.333333333333333,2.21854882612824,2.07842241860926,0.0429185666516423,0.597379121696577,0.113753312639892,0.105660150956828,8,0,0.881422266829759,0,1,0,-0.370477706473321,-0.593215376557782,-0.346051014075056,-0.33120013414882,-0.310190088860691,-1499.54647624971,-1142.44824190079,-357.098234348915
521,0.333333333333333,0.333333333333333,2.21854882612824,2.07842241860926,0.0429185666516423,0.597379121696577,0.113753312639892,0.105660150956828,8,0,0.881422266829759,0,1,0,-0.370477706473321,-0.593215376557782,-0.45357455033809,-0.33120013414882,-0.310190088860691,-1500.69319140141,-1142.65424789772,-358.03894350369
531,0.333333333333333,0.333333333333333,2.2810279764235,2.07842241860926,0.0532078155921772,0.612354304385372,0.119122186629102,0.108693183388095,8,0,0.881422266829759,0,1,0,-0.370477706473321,-0.593215376557782,-0.45357455033809,-0.33120013414882,-0.227640665136278,-1508.12525774159,-1145.89612929466,-362.229128446936
541,0.333333333333333,0.333333333333333,2.2810279764235,2.07842241860926,0.0532078155921772,0.612354304385372,0.119122186629102,0.108693183388095,8,0,0.881422266829759,0,1,0,-0.370477706473321,-0.593215376557782,-0.45357455033809,-0.33120013414882,-0.227640665136278,-1512.33184766042,-1145.69902598608,-366.632821674339
551,0.333333333333333,0.333333333333333,2.2810279764235,2.31784567683935,0.0579702515061945,0.631685408670456,0.119122186629102,0.108693183388095,8,0,0.881422266829759,0,1,0,-0.370477706473321,-0.593215376557782,-0.45357455033809,-0.33120013414882,-0.227640665136278,-1514.93624713116,-1149.29115864684,-365.645088484316
561,0.333333333333333,0.333333333333333,2.2810279764235,2.31784567683935,0.0579702515061945,0.631685408670456,0.119122186629102,0.108693183388095,8,0,0.881422266829759,0,1,0,-0.370477706473321,-0.669829607894644,-0.45357455033809,-0.33120013414882,-0.227640665136278,-1500.83650781612,-1142.37830928847,-358.458198527653
571,0.333333333333333,0.333333333333333,2.2810279764235,2.31784567683935,0.0829722067946568,0.623163793468848,0.119122186629102,0.108693183388095,8,0,0.881422266829759,0,1,0,-0.370477706473321,-0.669829607894644,-0.45357455033809,-0.33120013414882,-0.227640665136278,-1507.34856203875,-1150.40321682739,-356.945345211353
581,0.333333333333333,0.333333333333333,2.2810279764235,2.10874044913799,0.0829722067946568,0.623163793468848,0.119122186629102,0.108693183388095,8,0,0.881422266829759,0,1,0,-0.370477706473321,-0.616179558867589,-0.45357455033809,-0.450400828989221,-0.227640665136278,-1519.27011428164,-1155.39412424496,-363.875990036686
591,0.333333333333333,0.333333333333333,2.2810279764235,2.10874044913799,0.0829722067946568,0.649372915178538,0.112332049151883,0.0919050002354197,8,0,0.881422266829759,0,1,0,-0.370477706473321,-0.695303946966305,-0.45357455033809,-0.450400828989221,-0.227640665136278,-1512.39474674238,-1151.20631386132,-361.188432881057
601,0.333333333333333,0.333333333333333,2.2810279764235,2.02951903417706,0.0526662106765434,0.683242835942656,0.112332049151883,0.0919050002354197,8,0,0.881422266829759,0,1,0,-0.370477706473321,-0.695303946966305,-0.45357455033809,-0.156983258947728,-0.262406944017857,-1503.54657664801,-1141.00910650918,-362.537470138824
611,0.333333333333333,0.333333333333333,2.2810279764235,2.02951903417706,0.0526662106765434,0.683242835942656,0.112332049151883,0.0919050002354197,8,0,0.881422266829759,0,1,0,-0.288629963854328,-0.695303946966305,-0.436449436470866,-0.43015759908594,-0.262406944017857,-1498.83573865379,-1141.23855486925,-357.597183784537
621,0.333333333333333,0.333333333333333,2.2810279764235,2.02951903417706,0.0173369408491999,0.683242835942656,0.112332049151883,0.0919050002354197,8,0,0.881422266829759,0,1,0,-0.288629963854328,-0.695303946966305,-0.436449436470866,-0.43015759908594,-0.262406944017857,-1503.50731241697,-1147.66032037336,-355.84699204361
631,0.333333333333333,0.333333333333333,2.2810279764235,2.02951903417706,0.0173369408491999,0.683242835942656,0.112332049151883,0.0919050002354197,8,0,0.881422266829759,0,1,0,-0.321020961832256,-0.783922117669135,-0.436449436470866,-0.43015759908594,-0.41104234252125,-1494.19513281583,-1143.17939126191,-351.015741553923
641,0.333333333333333,0.333333333333333,2.2810279764235,2.13169220555574,0.00615153414197266,0.665151526546106,0.112332049151883,0.0962314128060825,8,0,0.881422266829759,0,1,0,-0.321020961832256,-0.783922117669135,-0.436449436470866,-0.43015759908594,-0.41104234252125,-1495.15626754673,-1142.29999285956,-352.856274687168
651,0.333333333333333,0.333333333333333,2.2810279764235,2.13169220555574,0.00615153414197266,0.665151526546106,0.112332049151883,0.0962314128060825,8,0,0.881422266829759,0,1,0,-0.390946135343985,-0.760138277010992,-0.577496452443302,-0.43015759908594,-0.317925956705585,-1506.99706284499,-1143.690678315,-363.306384529982
661,0.333333333333333,0.333333333333333,2.2810279764235,2.13169220555574,0.0540503486664966,0.682318474981003,0.112332049151883,0.0962314128060825,8,0,0.881422266829759,0,1,0,-0.390946135343985,-0.760138277010992,-0.577496452443302,-0.43015759908594,-0.317925956705585,-1500.46737588792,-1140.98773234195,-359.479643545966
671,0.333333333333333,0.333333333333333,2.2810279764235,2.04140206780285,0.0523442486673594,0.682318474981003,0.112332049151883,0.0962314128060825,8,0,0.881422266829759,0,1,0,-0.390946135343985,-0.674466542247683,-0.577496452443302,-0.315449490351601,-0.317925956705585,-1497.95818654998,-1143.22534764973,-354.732838900252
681,0.333333333333333,0.333333333333333,2.2810279764235,2.04140206780285,0.0523442486673594,0.682318474981003,0.112332049151883,0.0962314128060825,8,0,0.909416675567627,0,1,0,-0.390946135343985,-0.674466542247683,-0.577496452443302,-0.315449490351601,-0.317925956705585,-1500.75894097325,-1140.16873640035,-360.590204572906
691,0.333333333333333,0.333333333333333,2.2810279764235,2.15275399181992,0.0355079475929961,0.653393096989021,0.112332049151883,0.0962314128060825,8,0,0.909416675567627,0,1,0,-0.390946135343985,-0.674466542247683,-0.577496452443302,-0.315449490351601,-0.401798539422452,-1500.20181685363,-1141.59956822674,-358.602248626893
701,0.333333333333333,0.333333333333333,2.2810279764235,2.15275399181992,0.0355079475929961,0.653393096989021,0.112332049151883,0.106197383569088,8,0,0.909416675567627,0,1,0,-0.390946135343985,-0.674466542247683,-0.577496452443302,-0.315449490351601,-0.401798539422452,-1498.32535386305,-1145.76114056095,-352.5642133021
711,0.333333333333333,0.333333333333333,2.2810279764235,2.1844105027616,0.0453004230884835,0.653393096989021,0.112332049151883,0.106197383569088,8,0,0.909416675567627,0,1,0,-0.390946135343985,-0.674466542247683,-0.577496452443302,-0.315449490351601,-0.4518249489367,-1500.16159338938,-1144.36403327158,-355.797560117795
721,0.333333333333333,0.333333333333333,2.2810279764235,2.1844105027616,0.0453004230884835,0.653393096989021,0.112332049151883,0.106197383569088,8,0,0.909416675567627,0,1,0,-0.390946135343985,-0.674466542247683,-0.577496452443302,-0.315449490351601,-0.4518249489367,-1487.9467500728,-1142.99125437632,-344.955495696482
731,0.333333333333333,0.333333333333333,2.2810279764235,2.19582878723741,0.0455038551846519,0.653393096989021,0.108070727437735,0.106197383569088,8,0,0.909416675567627,0,1,0,-0.390946135343985,-0.674466542247683,-0.577496452443302,-0.315449490351601,-0.4518249489367,-1483.13789953823,-1141.45578843107,-341.682111107163
741,0.333333333333333,0.333333333333333,2.2810279764235,2.08425354734063,0.0455038551846519,0.653393096989021,0.108070727437735,0.106197383569088,8,0,0.909416675567627,0,1,0,-0.390946135343985,-0.674466542247683,-0.577496452443302,-0.315449490351601,-0.4518249489367,-1486.46302667657,-1139.2058601572,-347.257166519369
751,0.333333333333333,0.333333333333333,2.2810279764235,2.08425354734063,0.0800276288902387,0.630243923328817,0.123746649059467,0.106197383569088,8,0,0.909416675567627,0,1,0,-0.390946135343985,-0.674466542247683,-0.577496452443302,-0.315449490351601,-0.4518249489367,-1497.2094247508,-1148.26948818811,-348.939936562686
761,0.333333333333333,0.333333333333333,2.2810279764235,2.26464675441384,0.0800276288902387,0.630243923328817,0.123746649059467,0.106197383569088,8,0,0.909416675567627,0,1,0,-0.390946135343985,-0.674466542247683,-0.503724909899757,-0.315449490351601,-0.265264896256848,-1487.90141250616,-1139.55043268051,-348.350979825656
771,0.333333333333333,0.333333333333333,2.2810279764235,2.26464675441384,0.0800276288902387,0.666648088442162,0.122581978025846,0.105260743608233,8,0,0.909416675567627,0,1,0,-0.513795363809914,-0.674466542247683,-0.503724909899757,-0.315449490351601,-0.265264896256848,-1494.83517517274,-1146.73894988939,-348.096225283344
781,0.333333333333333,0.333333333333333,2.2810279764235,2.26464675441384,0.0800276288902387,0.694906947133132,0.122581978025846,0.105260743608233,8,0,0.909416675567627,0,1,0,-0.513795363809914,-0.674466542247683,-0.503724909899757,-0.315449490351601,-0.404488280136137,-1487.5383496663,-1149.86223847281,-337.676111193484
791,0.333333333333333,0.333333333333333,2.2810279764235,2.26464675441384,0.0800276288902387,0.694906947133132,0.122581978025846,0.0957478551077656,8,0,0.909416675567627,0,1,0,-0.449510025093332,-0.758680727891624,-0.503724909899757,-0.315449490351601,-0.404488280136137,-1490.14492959881,-1152.506746548,-337.638183050814
801,0.333333333333333,0.333333333333333,2.2810279764235,2.26464675441384,0.109598659109324,0.704438264388591,0.111464955331758,0.0957478551077656,8,0,0.909416675567627,0,1,0,-0.449510025093332,-0.758680727891624,-0.503724909899757,-0.315449490351601,-0.432045981613918,-1498.81197979624,-1157.84538324457,-340.966596551666
811,0.333333333333333,0.333333333333333,2.2810279764235,2.26464675441384,0.109598659109324,0.704438264388591,0.111464955331758,0.0957478551077656,8,0,0.909416675567627,0,1,0,-0.475770513340831,-0.758680727891624,-0.598355162283406,-0.315449490351601,-0.418249104544519,-1479.72040176013,-1142.90717109166,-336.813230668468
821,0.333333333333333,0.333333333333333,2.23779950551689,2.41738353744149,0.109598659109324,0.710614436888136,0.111464955331758,0.0957478551077656,8,0,0.909416675567627,0,1,0,-0.475770513340831,-0.758680727891624,-0.598355162283406,-0.315449490351601,-0.418249104544519,-1490.75337468224,-1149.01962377934,-341.733750902894
831,0.333333333333333,0.333333333333333,2.23779950551689,2.41738353744149,0.109598659109324,0.710614436888136,0.111464955331758,0.0957478551077656,8,0,0.909416675567627,0,1,0,-0.475770513340831,-0.512542279995978,-0.598355162283406,-0.315449490351601,-0.418249104544519,-1498.17769917454,-1149.12658276795,-349.051116406599
841,0.333333333333333,0.333333333333333,2.23779950551689,2.41738353744149,0.103891086126678,0.668879033252597,0.111464955331758,0.0957478551077656,8,0,0.909416675567627,0,1,0,-0.475770513340831,-0.512542279995978,-0.598355162283406,-0.315449490351601,-0.418249104544519,-1492.62334466799,-1148.72562287128,-343.897721796714
851,0.333333333333333,0.333333333333333,2.23779950551689,2.41738353744149,0.103891086126678,0.668879033252597,0.111464955331758,0.0957478551077656,8,0,0.909416675567627,0,1,0,-0.475770513340831,-0.648185057612136,-0.598355162283406,-0.315449490351601,-0.418249104544519,-1493.16850290194,-1144.43162880572,-348.736874096222
861,0.333333333333333,0.333333333333333,2.23779950551689,2.41738353744149,0.103891086126678,0.668879033252597,0.111464955331758,0.0957478551077656,8,0,0.909416675567627,0,1,0,-0.261214308673516,-0.648185057612136,-0.598355162283406,-0.315449490351601,-0.418249104544519,-1495.36965072182,-1146.10175466539,-349.267896056432
