sampno,alpha,beta,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,MIN_TITRE,obs_sd,rho_mean,rho_sd,titre_dependent,rho,rho,rho,rho,rho,lnlike,likelihood,prior_prob
1,0.333333333333333,0.333333333333333,1.99069962324575,2.16739317635074,0.0627464785729535,0.653650153847411,0.104684119997546,0.0130707145435736,8,0,1.22188772435766,0,1,0,0.7672672374174,-0.302972556091845,0.331374056171626,0.724779158830643,-0.275569839403033,-7127.45509402578,-6349.70501389407,-777.75008013171
11,0.333333333333333,0.333333333333333,1.66774586597458,2.16739317635074,0.0627464785729535,0.684015723015182,0.104684119997546,0.0218814414227381,8,0,2.27917109627742,0,1,0,0.7672672374174,-0.302972556091845,0.331374056171626,0.724779158830643,-0.275569839403033,-2659.24274100961,-2183.56745707419,-475.675283935418
21,0.333333333333333,0.333333333333333,1.66774586597458,1.77293470082805,0.0627464785729535,0.684015723015182,0.104684119997546,0.0218814414227381,8,0,2.27917109627742,0,1,0,0.715977769810706,-0.322495258459822,0.180398301361128,0.724779158830643,-0.336387566896156,-2212.46533956985,-1907.74775512331,-304.717584446541
31,0.333333333333333,0.333333333333333,1.66774586597458,1.77293470082805,0.0902680772845634,0.710665936302394,0.114063832070678,0.0450423944042996,8,0,1.74793368682731,0,1,0,0.715977769810706,-0.322495258459822,0.180398301361128,0.724779158830643,-0.336387566896156,-2028.81120631582,-1783.78272176646,-245.028484549355
41,0.333333333333333,0.333333333333333,1.92547195600346,1.77293470082805,0.0902680772845634,0.710665936302394,0.114063832070678,0.0450423944042996,8,0,1.74793368682731,0,1,0,0.715977769810706,-0.322495258459822,0.0683279152493928,0.724779158830643,-0.336387566896156,-2004.5149797146,-1760.64127707156,-243.87370264304
51,0.333333333333333,0.333333333333333,1.92547195600346,1.77293470082805,0.0902680772845634,0.677016158704646,0.084767109178938,0.0745516347931698,8,0,1.74793368682731,0,1,0,0.639252018509433,-0.327454795502127,-0.102164484187961,0.724779158830643,-0.336387566896156,-1944.13571961622,-1715.98068491656,-228.15503469966
61,0.333333333333333,0.333333333333333,1.92547195600346,1.77293470082805,0.132462233447004,0.628563554817811,0.084767109178938,0.0745516347931698,8,0,1.74793368682731,0,1,0,0.639252018509433,-0.327454795502127,-0.102164484187961,0.49942466286011,-0.541816734522581,-1930.43716272188,-1670.74400342344,-259.693159298439
71,0.333333333333333,0.333333333333333,1.92547195600346,1.77293470082805,0.132462233447004,0.628563554817811,0.129352770093828,0.0745516347931698,8,0,1.080506871338,0,1,0,0.639252018509433,-0.127566050784663,0.0424517049919819,0.49942466286011,-0.541816734522581,-1882.95127787377,-1594.33268350176,-288.618594372016
81,0.333333333333333,0.333333333333333,1.92547195600346,1.79368436196819,0.130917930349242,0.628563554817811,0.129352770093828,0.0712173869134858,8,0,1.080506871338,0,1,0,0.639252018509433,-0.127566050784663,0.0424517049919819,0.49942466286011,-0.511909725284204,-1864.88997110817,-1576.19313012093,-288.696840987238
91,0.333333333333333,0.333333333333333,1.92547195600346,1.79368436196819,0.130917930349242,0.628563554817811,0.129352770093828,0.0712173869134858,8,0,1.080506871338,0,1,0,0.529861949617043,-0.144892378384248,0.00747523731552091,0.292649308778346,-0.38696504435502,-1801.61915768581,-1510.85224393211,-290.766913753692
101,0.333333333333333,0.333333333333333,2.02795332213864,1.79368436196819,0.0838181409076788,0.676013900013641,0.129352770093828,0.0907623984618112,8,0,1.080506871338,0,1,0,0.529861949617043,-0.144892378384248,0.00747523731552091,0.292649308778346,-0.38696504435502,-1783.06713873042,-1494.19332965551,-288.873809074907
111,0.333333333333333,0.333333333333333,2.02795332213864,1.88403180623427,0.0838181409076788,0.676013900013641,0.129352770093828,0.0907623984618112,8,0,1.080506871338,0,1,0,0.529861949617043,-0.303135360591114,0.00747523731552091,0.292649308778346,-0.38696504435502,-1766.26523437315,-1480.69941935514,-285.56581501801
