sampno,alpha,beta,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,MIN_TITRE,obs_sd,rho_mean,rho_sd,titre_dependent,rho,rho,rho,rho,rho,lnlike,likelihood,prior_prob
1,0.333333333333333,0.333333333333333,1.078894673381,2.13788853632286,0.034679339164868,0.407254334585741,0.19928643302992,0.0772374327550642,8,0,1.25185703858733,0,1,0,0.852250972762704,0.932373481802642,0.905473121907562,-0.119543533306569,0.904939150903374,-5344.65694047685,-4499.24395158895,-845.412988887908
11,0.333333333333333,0.333333333333333,1.078894673381,2.13788853632286,0.034679339164868,0.448014392354526,0.242155078565702,0.0772374327550642,8,0,1.76332833187189,0,1,0,0.852250972762704,0.932373481802642,0.905473121907562,-0.119543533306569,0.904939150903374,-2777.68469344248,-2239.62166822098,-538.063025221492
21,0.333333333333333,0.333333333333333,1.078894673381,1.89844891251996,0.034679339164868,0.448014392354526,0.242155078565702,0.0772374327550642,8,0,1.76332833187189,0,1,0,0.727111089183018,0.932373481802642,0.905473121907562,-0.059549032477662,0.904939150903374,-2312.20949923785,-1972.30657197976,-339.902927258092
31,0.333333333333333,0.333333333333333,1.078894673381,1.89844891251996,0.0325975399138406,0.456929694418795,0.195888382545672,0.0772374327550642,8,0,1.76332833187189,0,1,0,0.575562471244484,0.932373481802642,0.905473121907562,-0.059549032477662,0.904939150903374,-2241.95357763078,-1924.22578073143,-317.727796899355
41,0.333333333333333,0.333333333333333,1.078894673381,1.89844891251996,0.0313529009139165,0.456929694418795,0.195888382545672,0.0772374327550642,8,0,1.76332833187189,0,1,0,0.575562471244484,0.80505783399567,0.905473121907562,-0.059549032477662,0.661868888046593,-2154.10658320649,-1876.55153641777,-277.555046788721
51,0.333333333333333,0.333333333333333,1.078894673381,1.89844891251996,0.0313529009139165,0.432569039380178,0.195888382545672,0.0543224903079681,8,0,1.76332833187189,0,1,0,0.575562471244484,0.80505783399567,0.783313413383439,-0.059549032477662,0.661868888046593,-2129.04811259551,-1860.49637777327,-268.551734822243
61,0.333333333333333,0.333333333333333,1.078894673381,1.89844891251996,0.0313529009139165,0.432569039380178,0.195888382545672,0.0543224903079681,8,0,1.76332833187189,0,1,0,0.575562471244484,0.80505783399567,0.783313413383439,-0.059549032477662,0.540678406925872,-2112.91870316448,-1837.70990414054,-275.208799023941
71,0.333333333333333,0.333333333333333,1.078894673381,1.89844891251996,0.0313529009139165,0.432569039380178,0.184715625876561,0.00698969643795863,8,0,1.76332833187189,0,1,0,0.49613362015225,0.80505783399567,0.677774973167106,-0.059549032477662,0.540678406925872,-2109.36386028858,-1821.7572512844,-287.606609004182
81,0.333333333333333,0.333333333333333,1.078894673381,1.89844891251996,0.00944493835326284,0.425297199236229,0.167778233182617,0.0306202517566271,8,0,1.76332833187189,0,1,0,0.49613362015225,0.80505783399567,0.677774973167106,-0.059549032477662,0.427426702901721,-2102.79216691249,-1793.92543827444,-308.866728638049
91,0.333333333333333,0.333333333333333,1.078894673381,1.89844891251996,0.00944493835326284,0.425297199236229,0.167778233182617,0.0306202517566271,8,0,1.76332833187189,0,1,0,0.49613362015225,0.80505783399567,0.677774973167106,-0.059549032477662,0.430109602725134,-2079.50709344003,-1783.64024453628,-295.86684890375
