"","names","values","fixed","steps","lower_bound","upper_bound","lower_start","upper_start","type","obs_type"
"1","alpha",0.333333333333333,1,0.1,0,1000,0,1000,2,1
"2","beta",0.333333333333333,1,0.1,0,1000,0,1000,2,1
"3","mu",2.4916002904065,0,0.1,0,8,1,3,1,1
"4","mu_short",1.62011427525431,0,0.1,0,8,1,3,1,1
"5","tau",0.0244272655062377,0,0.1,0,1,0.01,0.1,1,1
"6","wane",0.646208433108404,0,0.1,0,1,0.2,0.8,1,1
"7","sigma1",0.116600364889018,0,0.1,0,1,0.1,0.2,1,1
"8","sigma2",0.0697382659651339,0,0.1,0,1,0.01,0.1,1,1
"9","MAX_TITRE",8,1,0.1,0,8,8,8,1,1
"10","MIN_TITRE",0,1,0.1,0,0,0,0,1,1
"11","obs_sd",1.65047566103749,0,0.1,0,25,0.5,2,1,1
"12","rho_mean",0,1,0.1,-10,10,-2,2,1,1
"13","rho_sd",1,1,0.1,0,10,1,2,1,1
"14","titre_dependent",0,1,0.1,0,1,0,1,1,1
"15","rho",-0.299494144506752,0,0.1,-3,3,-1,1,3,1
"16","rho",-0.640084262005985,0,0.1,-3,3,-1,1,3,1
"17","rho",0.381348904687911,0,0.1,-3,3,-1,1,3,1
"18","rho",0.0467265243642032,0,0.1,-3,3,-1,1,3,1
"19","mu",1.57530004577711,0,0.1,0,8,1,3,1,2
"20","mu_short",2.18009005393833,0,0.1,0,8,1,3,1,2
"21","tau",0.0561857914039865,0,0.1,0,1,0.01,0.1,1,2
"22","wane",0.653572724899277,0,0.1,0,1,0.2,0.8,1,2
"23","sigma1",0.108164086844772,0,0.1,0,1,0.1,0.2,1,2
"24","sigma2",0.026908792166505,0,0.1,0,1,0.01,0.1,1,2
"25","MAX_TITRE",8,1,0.1,0,8,8,8,1,2
"26","MIN_TITRE",0,1,0.1,0,0,0,0,1,2
"27","obs_sd",1.11373450921383,0,0.1,0,25,0.5,2,1,2
"28","rho_mean",0,1,0.1,-10,10,-2,2,1,2
"29","rho_sd",1,1,0.1,0,10,1,2,1,2
"30","titre_dependent",0,1,0.1,0,1,0,1,1,2
"31","rho",0.318404951598495,0,0.1,-3,3,-1,1,3,2
"32","rho",0.0133310742676258,0,0.1,-3,3,-1,1,3,2
"33","rho",-0.185501946602017,0,0.1,-3,3,-1,1,3,2
"34","rho",0.684940591454506,0,0.1,-3,3,-1,1,3,2
