"","names","values","fixed","steps","lower_bound","upper_bound","lower_start","upper_start","type","obs_type"
"1","alpha",0.333333333333333,1,0.1,0,1000,0,1000,2,1
"2","beta",0.333333333333333,1,0.1,0,1000,0,1000,2,1
"3","mu",2.9315835274756,0,0.1,0,8,1,3,1,1
"4","mu_short",1.05745868152007,0,0.1,0,8,1,3,1,1
"5","tau",0.0911694256425835,0,0.1,0,1,0.01,0.1,1,1
"6","wane",0.548528093611822,0,0.1,0,1,0.2,0.8,1,1
"7","sigma1",0.171108892350458,0,0.1,0,1,0.1,0.2,1,1
"8","sigma2",0.0651418370055035,0,0.1,0,1,0.01,0.1,1,1
"9","MAX_TITRE",8,1,0.1,0,8,8,8,1,1
"10","MIN_TITRE",0,1,0.1,0,0,0,0,1,1
"11","obs_sd",1.731869038078,0,0.1,0,25,0.5,2,1,1
"12","rho_mean",0,1,0.1,-10,10,-2,2,1,1
"13","rho_sd",1,1,0.1,0,10,1,2,1,1
"14","titre_dependent",0,1,0.1,0,1,0,1,1,1
"15","rho",0.760143576655537,0,0.1,-3,3,-1,1,3,1
"16","rho",-0.307073123753071,0,0.1,-3,3,-1,1,3,1
"17","rho",-0.561512166168541,0,0.1,-3,3,-1,1,3,1
"18","rho",-0.869869304820895,0,0.1,-3,3,-1,1,3,1
"19","mu",2.32906620809808,0,0.1,0,8,1,3,1,2
"20","mu_short",1.00108591094613,0,0.1,0,8,1,3,1,2
"21","tau",0.0251186195691116,0,0.1,0,1,0.01,0.1,1,2
"22","wane",0.515958519885316,0,0.1,0,1,0.2,0.8,1,2
"23","sigma1",0.148056487622671,0,0.1,0,1,0.1,0.2,1,2
"24","sigma2",0.0887026078603231,0,0.1,0,1,0.01,0.1,1,2
"25","MAX_TITRE",8,1,0.1,0,8,8,8,1,2
"26","MIN_TITRE",0,1,0.1,0,0,0,0,1,2
"27","obs_sd",1.31718897540122,0,0.1,0,25,0.5,2,1,2
"28","rho_mean",0,1,0.1,-10,10,-2,2,1,2
"29","rho_sd",1,1,0.1,0,10,1,2,1,2
"30","titre_dependent",0,1,0.1,0,1,0,1,1,2
"31","rho",0.0690816203132272,0,0.1,-3,3,-1,1,3,2
"32","rho",0.0575203979387879,0,0.1,-3,3,-1,1,3,2
"33","rho",0.929665680509061,0,0.1,-3,3,-1,1,3,2
"34","rho",0.870875936932862,0,0.1,-3,3,-1,1,3,2
