"","names","values","fixed","steps","lower_bound","upper_bound","lower_start","upper_start","type","obs_type"
"1","alpha",0.333333333333333,1,0.1,0,1000,0,1000,2,1
"2","beta",0.333333333333333,1,0.1,0,1000,0,1000,2,1
"3","mu",1.80948185687885,0,0.1,0,8,1,3,1,1
"4","mu_short",2.77642416302115,0,0.1,0,8,1,3,1,1
"5","tau",0.0385077166091651,0,0.1,0,1,0.01,0.1,1,1
"6","wane",0.215583506971598,0,0.1,0,1,0.2,0.8,1,1
"7","sigma1",0.141429060068913,0,0.1,0,1,0.1,0.2,1,1
"8","sigma2",0.0381683713407256,0,0.1,0,1,0.01,0.1,1,1
"9","MAX_TITRE",8,1,0.1,0,8,8,8,1,1
"10","MIN_TITRE",0,1,0.1,0,0,0,0,1,1
"11","obs_sd",1.31140026787762,0,0.1,0,25,0.5,2,1,1
"12","rho_mean",0,1,0.1,-10,10,-2,2,1,1
"13","rho_sd",1,1,0.1,0,10,1,2,1,1
"14","titre_dependent",0,1,0.1,0,1,0,1,1,1
"15","rho",0.952883239369839,0,0.1,-3,3,-1,1,3,1
"16","rho",0.662954192608595,0,0.1,-3,3,-1,1,3,1
"17","rho",0.894673094619066,0,0.1,-3,3,-1,1,3,1
"18","rho",-0.669189305510372,0,0.1,-3,3,-1,1,3,1
"19","mu",1.39488525502384,0,0.1,0,8,1,3,1,2
"20","mu_short",2.73651785636321,0,0.1,0,8,1,3,1,2
"21","tau",0.0629349420196377,0,0.1,0,1,0.01,0.1,1,2
"22","wane",0.651950511755422,0,0.1,0,1,0.2,0.8,1,2
"23","sigma1",0.109334918181412,0,0.1,0,1,0.1,0.2,1,2
"24","sigma2",0.0634918888704851,0,0.1,0,1,0.01,0.1,1,2
"25","MAX_TITRE",8,1,0.1,0,8,8,8,1,2
"26","MIN_TITRE",0,1,0.1,0,0,0,0,1,2
"27","obs_sd",1.2832507758867,0,0.1,0,25,0.5,2,1,2
"28","rho_mean",0,1,0.1,-10,10,-2,2,1,2
"29","rho_sd",1,1,0.1,0,10,1,2,1,2
"30","titre_dependent",0,1,0.1,0,1,0,1,1,2
"31","rho",-0.574438926298171,0,0.1,-3,3,-1,1,3,2
"32","rho",0.114892856683582,0,0.1,-3,3,-1,1,3,2
"33","rho",-0.822920180857182,0,0.1,-3,3,-1,1,3,2
"34","rho",0.00695744017139077,0,0.1,-3,3,-1,1,3,2
