"","names","values","fixed","steps","lower_bound","upper_bound","lower_start","upper_start","type","obs_type"
"1","alpha",0.333333333333333,1,0.1,0,1000,0,1000,2,1
"2","beta",0.333333333333333,1,0.1,0,1000,0,1000,2,1
"3","mu",1.69823497813195,0,0.1,0,8,1,3,1,1
"4","mu_short",2.59061995241791,0,0.1,0,8,1,3,1,1
"5","tau",0.0247083269176073,0,0.1,0,1,0.01,0.1,1,1
"6","wane",0.58940720143728,0,0.1,0,1,0.2,0.8,1,1
"7","sigma1",0.196290584723465,0,0.1,0,1,0.1,0.2,1,1
"8","sigma2",0.0971185493539087,0,0.1,0,1,0.01,0.1,1,1
"9","MAX_TITRE",8,1,0.1,0,8,8,8,1,1
"10","MIN_TITRE",0,1,0.1,0,0,0,0,1,1
"11","obs_sd",1.11101049545687,0,0.1,0,25,0.5,2,1,1
"12","rho_mean",0,1,0.1,-10,10,-2,2,1,1
"13","rho_sd",1,1,0.1,0,10,1,2,1,1
"14","titre_dependent",0,1,0.1,0,1,0,1,1,1
"15","rho",0.927021457348019,0,0.1,-3,3,-1,1,3,1
"16","rho",0.336139030754566,0,0.1,-3,3,-1,1,3,1
"17","rho",-0.689249521587044,0,0.1,-3,3,-1,1,3,1
"18","rho",-0.18901533447206,0,0.1,-3,3,-1,1,3,1
"19","mu",1.37893721042201,0,0.1,0,8,1,3,1,2
"20","mu_short",1.68544078059494,0,0.1,0,8,1,3,1,2
"21","tau",0.0266544617339969,0,0.1,0,1,0.01,0.1,1,2
"22","wane",0.561084506427869,0,0.1,0,1,0.2,0.8,1,2
"23","sigma1",0.167542687128298,0,0.1,0,1,0.1,0.2,1,2
"24","sigma2",0.0159801586926915,0,0.1,0,1,0.01,0.1,1,2
"25","MAX_TITRE",8,1,0.1,0,8,8,8,1,2
"26","MIN_TITRE",0,1,0.1,0,0,0,0,1,2
"27","obs_sd",1.46942585229408,0,0.1,0,25,0.5,2,1,2
"28","rho_mean",0,1,0.1,-10,10,-2,2,1,2
"29","rho_sd",1,1,0.1,0,10,1,2,1,2
"30","titre_dependent",0,1,0.1,0,1,0,1,1,2
"31","rho",0.544800920877606,0,0.1,-3,3,-1,1,3,2
"32","rho",-0.746482796501368,0,0.1,-3,3,-1,1,3,2
"33","rho",0.413076485041529,0,0.1,-3,3,-1,1,3,2
"34","rho",0.449262675829232,0,0.1,-3,3,-1,1,3,2
