"","names","values","fixed","steps","lower_bound","upper_bound","lower_start","upper_start","type","obs_type"
"1","alpha",0.333333333333333,1,0.1,0,1000,0,1000,2,1
"2","beta",0.333333333333333,1,0.1,0,1000,0,1000,2,1
"3","mu",2.27772170631215,0,0.1,0,8,1,3,1,1
"4","mu_short",1.09568379679695,0,0.1,0,8,1,3,1,1
"5","tau",0.0138854281348176,0,0.1,0,1,0.01,0.1,1,1
"6","wane",0.400166687229648,0,0.1,0,1,0.2,0.8,1,1
"7","sigma1",0.184451341070235,0,0.1,0,1,0.1,0.2,1,1
"8","sigma2",0.0249862631363794,0,0.1,0,1,0.01,0.1,1,1
"9","MAX_TITRE",8,1,0.1,0,8,8,8,1,1
"10","MIN_TITRE",0,1,0.1,0,0,0,0,1,1
"11","obs_sd",1.4246797861997,0,0.1,0,25,0.5,2,1,1
"12","rho_mean",0,1,0.1,-10,10,-2,2,1,1
"13","rho_sd",1,1,0.1,0,10,1,2,1,1
"14","titre_dependent",0,1,0.1,0,1,0,1,1,1
"15","rho",0.491784324403852,0,0.1,-3,3,-1,1,3,1
"16","rho",0.426767887547612,0,0.1,-3,3,-1,1,3,1
"17","rho",0.860158756840974,0,0.1,-3,3,-1,1,3,1
"18","rho",0.85638429550454,0,0.1,-3,3,-1,1,3,1
"19","rho",0.479765312280506,0,0.1,-3,3,-1,1,3,1
"20","mu",1.09738174825907,0,0.1,0,8,1,3,1,2
"21","mu_short",1.8874575891532,0,0.1,0,8,1,3,1,2
"22","tau",0.0973044129018672,0,0.1,0,1,0.01,0.1,1,2
"23","wane",0.614799828128889,0,0.1,0,1,0.2,0.8,1,2
"24","sigma1",0.173345601605251,0,0.1,0,1,0.1,0.2,1,2
"25","sigma2",0.0949689302174375,0,0.1,0,1,0.01,0.1,1,2
"26","MAX_TITRE",8,1,0.1,0,8,8,8,1,2
"27","MIN_TITRE",0,1,0.1,0,0,0,0,1,2
"28","obs_sd",0.681781806983054,0,0.1,0,25,0.5,2,1,2
"29","rho_mean",0,1,0.1,-10,10,-2,2,1,2
"30","rho_sd",1,1,0.1,0,10,1,2,1,2
"31","titre_dependent",0,1,0.1,0,1,0,1,1,2
"32","rho",0.672144384589046,0,0.1,-3,3,-1,1,3,2
"33","rho",0.405535980127752,0,0.1,-3,3,-1,1,3,2
"34","rho",0.320860016625375,0,0.1,-3,3,-1,1,3,2
"35","rho",0.404227214399725,0,0.1,-3,3,-1,1,3,2
"36","rho",-0.899303175974637,0,0.1,-3,3,-1,1,3,2
