"","names","values","fixed","steps","lower_bound","upper_bound","lower_start","upper_start","type","obs_type"
"1","alpha",0.333333333333333,1,0.1,0,1000,0,1000,2,1
"2","beta",0.333333333333333,1,0.1,0,1000,0,1000,2,1
"3","mu",2.14014520170167,0,0.1,0,8,1,3,1,1
"4","mu_short",2.52842846466228,0,0.1,0,8,1,3,1,1
"5","tau",0.0766663808166049,0,0.1,0,1,0.01,0.1,1,1
"6","wane",0.210642914287746,0,0.1,0,1,0.2,0.8,1,1
"7","sigma1",0.115012043016031,0,0.1,0,1,0.1,0.2,1,1
"8","sigma2",0.0146045303205028,0,0.1,0,1,0.01,0.1,1,1
"9","MAX_TITRE",8,1,0.1,0,8,8,8,1,1
"10","MIN_TITRE",0,1,0.1,0,0,0,0,1,1
"11","obs_sd",1.4605995049933,0,0.1,0,25,0.5,2,1,1
"12","rho_mean",0,1,0.1,-10,10,-2,2,1,1
"13","rho_sd",1,1,0.1,0,10,1,2,1,1
"14","titre_dependent",0,1,0.1,0,1,0,1,1,1
"15","rho",-0.471430439502001,0,0.1,-3,3,-1,1,3,1
"16","rho",0.0806352384388447,0,0.1,-3,3,-1,1,3,1
"17","rho",-0.743560715112835,0,0.1,-3,3,-1,1,3,1
"18","rho",-0.63410231564194,0,0.1,-3,3,-1,1,3,1
"19","rho",-0.760187616571784,0,0.1,-3,3,-1,1,3,1
"20","mu",1.28142360365018,0,0.1,0,8,1,3,1,2
"21","mu_short",1.77231217501685,0,0.1,0,8,1,3,1,2
"22","tau",0.0160948784695938,0,0.1,0,1,0.01,0.1,1,2
"23","wane",0.617825932940468,0,0.1,0,1,0.2,0.8,1,2
"24","sigma1",0.171829452458769,0,0.1,0,1,0.1,0.2,1,2
"25","sigma2",0.0674197942903265,0,0.1,0,1,0.01,0.1,1,2
"26","MAX_TITRE",8,1,0.1,0,8,8,8,1,2
"27","MIN_TITRE",0,1,0.1,0,0,0,0,1,2
"28","obs_sd",0.532463969429955,0,0.1,0,25,0.5,2,1,2
"29","rho_mean",0,1,0.1,-10,10,-2,2,1,2
"30","rho_sd",1,1,0.1,0,10,1,2,1,2
"31","titre_dependent",0,1,0.1,0,1,0,1,1,2
"32","rho",0.408963770605624,0,0.1,-3,3,-1,1,3,2
"33","rho",-0.415772898122668,0,0.1,-3,3,-1,1,3,2
"34","rho",-0.963810105342418,0,0.1,-3,3,-1,1,3,2
"35","rho",0.932747397571802,0,0.1,-3,3,-1,1,3,2
"36","rho",-0.228984001092613,0,0.1,-3,3,-1,1,3,2
