"","names","values","fixed","steps","lower_bound","upper_bound","lower_start","upper_start","type","obs_type"
"1","alpha",0.333333333333333,1,0.1,0,1000,0,1000,2,1
"2","beta",0.333333333333333,1,0.1,0,1000,0,1000,2,1
"3","mu",1.10444763675332,0,0.1,0,8,1,3,1,1
"4","mu_short",2.41749238083139,0,0.1,0,8,1,3,1,1
"5","tau",0.0566960012447089,0,0.1,0,1,0.01,0.1,1,1
"6","wane",0.754285053163767,0,0.1,0,1,0.2,0.8,1,1
"7","sigma1",0.174383930792101,0,0.1,0,1,0.1,0.2,1,1
"8","sigma2",0.0129524192772806,0,0.1,0,1,0.01,0.1,1,1
"9","MAX_TITRE",8,1,0.1,0,8,8,8,1,1
"10","MIN_TITRE",0,1,0.1,0,0,0,0,1,1
"11","obs_sd",1.39855629659723,0,0.1,0,25,0.5,2,1,1
"12","rho_mean",0,1,0.1,-10,10,-2,2,1,1
"13","rho_sd",1,1,0.1,0,10,1,2,1,1
"14","titre_dependent",0,1,0.1,0,1,0,1,1,1
"15","rho",0.521269245073199,0,0.1,-3,3,-1,1,3,1
"16","rho",-0.0809071972034872,0,0.1,-3,3,-1,1,3,1
"17","rho",0.612742191646248,0,0.1,-3,3,-1,1,3,1
"18","rho",0.66314111975953,0,0.1,-3,3,-1,1,3,1
"19","mu",1.35169437155128,0,0.1,0,8,1,3,1,2
"20","mu_short",2.00091062858701,0,0.1,0,8,1,3,1,2
"21","tau",0.0330621934612282,0,0.1,0,1,0.01,0.1,1,2
"22","wane",0.748625197773799,0,0.1,0,1,0.2,0.8,1,2
"23","sigma1",0.1225103398785,0,0.1,0,1,0.1,0.2,1,2
"24","sigma2",0.0228420306299813,0,0.1,0,1,0.01,0.1,1,2
"25","MAX_TITRE",8,1,0.1,0,8,8,8,1,2
"26","MIN_TITRE",0,1,0.1,0,0,0,0,1,2
"27","obs_sd",1.80650309612975,0,0.1,0,25,0.5,2,1,2
"28","rho_mean",0,1,0.1,-10,10,-2,2,1,2
"29","rho_sd",1,1,0.1,0,10,1,2,1,2
"30","titre_dependent",0,1,0.1,0,1,0,1,1,2
"31","rho",0.724358724430203,0,0.1,-3,3,-1,1,3,2
"32","rho",0.376846161205322,0,0.1,-3,3,-1,1,3,2
"33","rho",-0.396526984870434,0,0.1,-3,3,-1,1,3,2
"34","rho",-0.999854419380426,0,0.1,-3,3,-1,1,3,2
