"","names","values","fixed","steps","lower_bound","upper_bound","lower_start","upper_start","type","obs_type"
"1","alpha",0.333333333333333,1,0.1,0,1000,0,1000,2,1
"2","beta",0.333333333333333,1,0.1,0,1000,0,1000,2,1
"3","mu",1.88736226968467,0,0.1,0,8,1,3,1,1
"4","mu_short",1.81030547991395,0,0.1,0,8,1,3,1,1
"5","tau",0.0212329670088366,0,0.1,0,1,0.01,0.1,1,1
"6","wane",0.359538206132129,0,0.1,0,1,0.2,0.8,1,1
"7","sigma1",0.127299370849505,0,0.1,0,1,0.1,0.2,1,1
"8","sigma2",0.0330139827448875,0,0.1,0,1,0.01,0.1,1,1
"9","MAX_TITRE",8,1,0.1,0,8,8,8,1,1
"10","MIN_TITRE",0,1,0.1,0,0,0,0,1,1
"11","obs_sd",1.64266498875804,0,0.1,0,25,0.5,2,1,1
"12","rho_mean",0,1,0.1,-10,10,-2,2,1,1
"13","rho_sd",1,1,0.1,0,10,1,2,1,1
"14","titre_dependent",0,1,0.1,0,1,0,1,1,1
"15","rho",-0.0663802986964583,0,0.1,-3,3,-1,1,3,1
"16","rho",-0.798520120792091,0,0.1,-3,3,-1,1,3,1
"17","rho",-0.810527583584189,0,0.1,-3,3,-1,1,3,1
"18","rho",0.212316327728331,0,0.1,-3,3,-1,1,3,1
"19","mu",1.92239073617384,0,0.1,0,8,1,3,1,2
"20","mu_short",2.94479364808649,0,0.1,0,8,1,3,1,2
"21","tau",0.0474935242114589,0,0.1,0,1,0.01,0.1,1,2
"22","wane",0.605120514612645,0,0.1,0,1,0.2,0.8,1,2
"23","sigma1",0.155268943146803,0,0.1,0,1,0.1,0.2,1,2
"24","sigma2",0.0730463728331961,0,0.1,0,1,0.01,0.1,1,2
"25","MAX_TITRE",8,1,0.1,0,8,8,8,1,2
"26","MIN_TITRE",0,1,0.1,0,0,0,0,1,2
"27","obs_sd",1.42098001344129,0,0.1,0,25,0.5,2,1,2
"28","rho_mean",0,1,0.1,-10,10,-2,2,1,2
"29","rho_sd",1,1,0.1,0,10,1,2,1,2
"30","titre_dependent",0,1,0.1,0,1,0,1,1,2
"31","rho",-0.452796277590096,0,0.1,-3,3,-1,1,3,2
"32","rho",0.0724437348544598,0,0.1,-3,3,-1,1,3,2
"33","rho",-0.229214520659298,0,0.1,-3,3,-1,1,3,2
"34","rho",0.616459381766617,0,0.1,-3,3,-1,1,3,2
