"","names","values","fixed","steps","lower_bound","upper_bound","lower_start","upper_start","type","obs_type"
"1","alpha",0.333333333333333,1,0.1,0,1000,0,1000,2,1
"2","beta",0.333333333333333,1,0.1,0,1000,0,1000,2,1
"3","mu",2.34066962869838,0,0.1,0,8,1,3,1,1
"4","mu_short",2.98363005230203,0,0.1,0,8,1,3,1,1
"5","tau",0.021027951692231,0,0.1,0,1,0.01,0.1,1,1
"6","wane",0.372589849447832,0,0.1,0,1,0.2,0.8,1,1
"7","sigma1",0.127043162891641,0,0.1,0,1,0.1,0.2,1,1
"8","sigma2",0.0208987501449883,0,0.1,0,1,0.01,0.1,1,1
"9","MAX_TITRE",8,1,0.1,0,8,8,8,1,1
"10","MIN_TITRE",0,1,0.1,0,0,0,0,1,1
"11","obs_sd",1.93623739364557,0,0.1,0,25,0.5,2,1,1
"12","rho_mean",0,1,0.1,-10,10,-2,2,1,1
"13","rho_sd",1,1,0.1,0,10,1,2,1,1
"14","titre_dependent",0,1,0.1,0,1,0,1,1,1
"15","rho",-0.767936048097908,0,0.1,-3,3,-1,1,3,1
"16","rho",-0.146894099190831,0,0.1,-3,3,-1,1,3,1
"17","rho",0.463920167647302,0,0.1,-3,3,-1,1,3,1
"18","rho",0.0917664733715355,0,0.1,-3,3,-1,1,3,1
"19","mu",2.1124174320139,0,0.1,0,8,1,3,1,2
"20","mu_short",1.24628986371681,0,0.1,0,8,1,3,1,2
"21","tau",0.069056045494508,0,0.1,0,1,0.01,0.1,1,2
"22","wane",0.556588532216847,0,0.1,0,1,0.2,0.8,1,2
"23","sigma1",0.197781138354912,0,0.1,0,1,0.1,0.2,1,2
"24","sigma2",0.0348043703800067,0,0.1,0,1,0.01,0.1,1,2
"25","MAX_TITRE",8,1,0.1,0,8,8,8,1,2
"26","MIN_TITRE",0,1,0.1,0,0,0,0,1,2
"27","obs_sd",0.802793521666899,0,0.1,0,25,0.5,2,1,2
"28","rho_mean",0,1,0.1,-10,10,-2,2,1,2
"29","rho_sd",1,1,0.1,0,10,1,2,1,2
"30","titre_dependent",0,1,0.1,0,1,0,1,1,2
"31","rho",0.00142039638012648,0,0.1,-3,3,-1,1,3,2
"32","rho",0.575526566244662,0,0.1,-3,3,-1,1,3,2
"33","rho",-0.298169418703765,0,0.1,-3,3,-1,1,3,2
"34","rho",0.956226675305516,0,0.1,-3,3,-1,1,3,2
