"","names","values","fixed","steps","lower_bound","upper_bound","lower_start","upper_start","type","obs_type"
"1","alpha",0.333333333333333,1,0.1,0,1000,0,1000,2,1
"2","beta",0.333333333333333,1,0.1,0,1000,0,1000,2,1
"3","mu",2.55016669537872,0,0.1,0,8,1,3,1,1
"4","mu_short",2.73427942581475,0,0.1,0,8,1,3,1,1
"5","tau",0.0579677450214513,0,0.1,0,1,0.01,0.1,1,1
"6","wane",0.675694619258866,0,0.1,0,1,0.2,0.8,1,1
"7","sigma1",0.196734513691627,0,0.1,0,1,0.1,0.2,1,1
"8","sigma2",0.0785751097765751,0,0.1,0,1,0.01,0.1,1,1
"9","MAX_TITRE",8,1,0.1,0,8,8,8,1,1
"10","MIN_TITRE",0,1,0.1,0,0,0,0,1,1
"11","obs_sd",1.26615150552243,0,0.1,0,25,0.5,2,1,1
"12","rho_mean",0,1,0.1,-10,10,-2,2,1,1
"13","rho_sd",1,1,0.1,0,10,1,2,1,1
"14","titre_dependent",0,1,0.1,0,1,0,1,1,1
"15","rho",0.78542675357312,0,0.1,-3,3,-1,1,3,1
"16","rho",0.0495861521922052,0,0.1,-3,3,-1,1,3,1
"17","rho",0.427387729752809,0,0.1,-3,3,-1,1,3,1
"18","rho",0.899064852390438,0,0.1,-3,3,-1,1,3,1
"19","mu",1.46017766324803,0,0.1,0,8,1,3,1,2
"20","mu_short",2.14264342421666,0,0.1,0,8,1,3,1,2
"21","tau",0.0775352028408088,0,0.1,0,1,0.01,0.1,1,2
"22","wane",0.485173344798386,0,0.1,0,1,0.2,0.8,1,2
"23","sigma1",0.104799786978401,0,0.1,0,1,0.1,0.2,1,2
"24","sigma2",0.0355371611774899,0,0.1,0,1,0.01,0.1,1,2
"25","MAX_TITRE",8,1,0.1,0,8,8,8,1,2
"26","MIN_TITRE",0,1,0.1,0,0,0,0,1,2
"27","obs_sd",0.806366704637185,0,0.1,0,25,0.5,2,1,2
"28","rho_mean",0,1,0.1,-10,10,-2,2,1,2
"29","rho_sd",1,1,0.1,0,10,1,2,1,2
"30","titre_dependent",0,1,0.1,0,1,0,1,1,2
"31","rho",-0.535341320093721,0,0.1,-3,3,-1,1,3,2
"32","rho",-0.795721163973212,0,0.1,-3,3,-1,1,3,2
"33","rho",-0.35107643622905,0,0.1,-3,3,-1,1,3,2
"34","rho",0.21415528934449,0,0.1,-3,3,-1,1,3,2
