"","names","values","fixed","steps","lower_bound","upper_bound","lower_start","upper_start","type","obs_type"
"1","alpha",0.333333333333333,1,0.1,0,1000,0,1000,2,1
"2","beta",0.333333333333333,1,0.1,0,1000,0,1000,2,1
"3","mu",2.10510548297316,0,0.1,0,8,1,3,1,1
"4","mu_short",1.09739386942238,0,0.1,0,8,1,3,1,1
"5","tau",0.0593526998325251,0,0.1,0,1,0.01,0.1,1,1
"6","wane",0.554427651455626,0,0.1,0,1,0.2,0.8,1,1
"7","sigma1",0.140631303889677,0,0.1,0,1,0.1,0.2,1,1
"8","sigma2",0.0869993213587441,0,0.1,0,1,0.01,0.1,1,1
"9","MAX_TITRE",8,1,0.1,0,8,8,8,1,1
"10","MIN_TITRE",0,1,0.1,0,0,0,0,1,1
"11","obs_sd",1.18863372947089,0,0.1,0,25,0.5,2,1,1
"12","rho_mean",0,1,0.1,-10,10,-2,2,1,1
"13","rho_sd",1,1,0.1,0,10,1,2,1,1
"14","titre_dependent",0,1,0.1,0,1,0,1,1,1
"15","rho",-0.522429285570979,0,0.1,-3,3,-1,1,3,1
"16","rho",-0.00179269723594189,0,0.1,-3,3,-1,1,3,1
"17","rho",0.603031578473747,0,0.1,-3,3,-1,1,3,1
"18","rho",-0.0209523271769285,0,0.1,-3,3,-1,1,3,1
"19","mu",1.8544316329062,0,0.1,0,8,1,3,1,2
"20","mu_short",1.840064979624,0,0.1,0,8,1,3,1,2
"21","tau",0.0237180929630995,0,0.1,0,1,0.01,0.1,1,2
"22","wane",0.377935087867081,0,0.1,0,1,0.2,0.8,1,2
"23","sigma1",0.146154519356787,0,0.1,0,1,0.1,0.2,1,2
"24","sigma2",0.0703451065346599,0,0.1,0,1,0.01,0.1,1,2
"25","MAX_TITRE",8,1,0.1,0,8,8,8,1,2
"26","MIN_TITRE",0,1,0.1,0,0,0,0,1,2
"27","obs_sd",1.47781815985218,0,0.1,0,25,0.5,2,1,2
"28","rho_mean",0,1,0.1,-10,10,-2,2,1,2
"29","rho_sd",1,1,0.1,0,10,1,2,1,2
"30","titre_dependent",0,1,0.1,0,1,0,1,1,2
"31","rho",-0.129559086635709,0,0.1,-3,3,-1,1,3,2
"32","rho",-0.623619326390326,0,0.1,-3,3,-1,1,3,2
"33","rho",-0.0793371866457164,0,0.1,-3,3,-1,1,3,2
"34","rho",0.456425744574517,0,0.1,-3,3,-1,1,3,2
