"","names","values","fixed","steps","lower_bound","upper_bound","lower_start","upper_start","type","obs_type"
"1","alpha",0.333333333333333,1,0.1,0,1000,0,1000,2,1
"2","beta",0.333333333333333,1,0.1,0,1000,0,1000,2,1
"3","mu",2.56497247563675,0,0.1,0,8,1,3,1,1
"4","mu_short",1.60275149764493,0,0.1,0,8,1,3,1,1
"5","tau",0.057472785487771,0,0.1,0,1,0.01,0.1,1,1
"6","wane",0.512105777254328,0,0.1,0,1,0.2,0.8,1,1
"7","sigma1",0.197368844761513,0,0.1,0,1,0.1,0.2,1,1
"8","sigma2",0.0829551960108802,0,0.1,0,1,0.01,0.1,1,1
"9","MAX_TITRE",8,1,0.1,0,8,8,8,1,1
"10","MIN_TITRE",0,1,0.1,0,0,0,0,1,1
"11","obs_sd",1.8950940448558,0,0.1,0,25,0.5,2,1,1
"12","rho_mean",0,1,0.1,-10,10,-2,2,1,1
"13","rho_sd",1,1,0.1,0,10,1,2,1,1
"14","titre_dependent",0,1,0.1,0,1,0,1,1,1
"15","rho",0.770037377718836,0,0.1,-3,3,-1,1,3,1
"16","rho",0.965890905354172,0,0.1,-3,3,-1,1,3,1
"17","rho",-0.105321377981454,0,0.1,-3,3,-1,1,3,1
"18","rho",0.828592131379992,0,0.1,-3,3,-1,1,3,1
"19","mu",1.69355069752783,0,0.1,0,8,1,3,1,2
"20","mu_short",2.40177909145132,0,0.1,0,8,1,3,1,2
"21","tau",0.0748056137771346,0,0.1,0,1,0.01,0.1,1,2
"22","wane",0.389584156451747,0,0.1,0,1,0.2,0.8,1,2
"23","sigma1",0.114335348876193,0,0.1,0,1,0.1,0.2,1,2
"24","sigma2",0.0813371584727429,0,0.1,0,1,0.01,0.1,1,2
"25","MAX_TITRE",8,1,0.1,0,8,8,8,1,2
"26","MIN_TITRE",0,1,0.1,0,0,0,0,1,2
"27","obs_sd",1.42865244927816,0,0.1,0,25,0.5,2,1,2
"28","rho_mean",0,1,0.1,-10,10,-2,2,1,2
"29","rho_sd",1,1,0.1,0,10,1,2,1,2
"30","titre_dependent",0,1,0.1,0,1,0,1,1,2
"31","rho",-0.633048885501921,0,0.1,-3,3,-1,1,3,2
"32","rho",-0.732217558193952,0,0.1,-3,3,-1,1,3,2
"33","rho",0.343723691999912,0,0.1,-3,3,-1,1,3,2
"34","rho",-0.365317904856056,0,0.1,-3,3,-1,1,3,2
